name,year,rank,sex
Cynthia,1934,65,F
Alice,1934,66,F
Gillian,1934,67,F
Enid,1934,68,F
Annie,1934,69,F
Yvonne,1934,70,F
Freda,1934,71,F
Ellen,1934,72,F
Ivy,1934,73,F
Jane,1934,74,F
Peggy,1934,75,F
Sarah,1934,76,F
Marlene,1934,77,F
Nancy,1934,78,F
Bridget,1934,79,F
Diana,1934,80,F
Grace,1934,81,F
Teresa,1934,82,F
Veronica,1934,83,F
Agnes,1934,84,F
Angela,1934,85,F
Constance,1934,86,F
Jennifer,1934,87,F
Marian,1934,88,F
Jill,1934,89,F
Wendy,1934,90,F
Ethel,1934,91,F
Joy,1934,92,F
Jacqueline,1934,93,F
Gloria,1934,94,F
Lily,1934,95,F
Margaret,1944,1,F
Patricia,1944,2,F
Christine,1944,3,F
Mary,1944,4,F
Jean,1944,5,F
Ann,1944,6,F
Susan,1944,7,F
Janet,1944,8,F
Maureen,1944,9,F
Barbara,1944,10,F
Valerie,1944,11,F
Carol,1944,12,F
Sandra,1944,13,F
Pauline,1944,14,F
Elizabeth,1944,15,F
Joan,1944,16,F
Pamela,1944,17,F
Jennifer,1944,18,F
Kathleen,1944,19,F
Anne,1944,20,F
Sheila,1944,21,F
Brenda,1944,22,F
Gillian,1944,23,F
Linda,1944,24,F
Jacqueline,1944,25,F
Sylvia,1944,26,F
Carole,1944,27,F
Eileen,1944,28,F
Wendy,1944,29,F
Judith,1944,30,F
Dorothy,1944,31,F
June,1944,32,F
Joyce,1944,33,F
Irene,1944,34,F
Diane,1944,35,F
Rosemary,1944,36,F
Angela,1944,37,F
Doreen,1944,38,F
Shirley,1944,39,F
Marion,1944,40,F
Rita,1944,41,F
Catherine,1944,42,F
Yvonne,1944,43,F
Josephine,1944,44,F
Helen,1944,45,F
Beryl,1944,46,F
Hazel,1944,47,F
Frances,1944,48,F
Janice,1944,49,F
Elaine,1944,50,F
Diana,1944,51,F
Veronica,1944,52,F
Jane,1944,53,F
Marilyn,1944,54,F
Lesley,1944,55,F
Norma,1944,56,F
Maria,1944,57,F
Heather,1944,58,F
Gloria,1944,59,F
Marie,1944,60,F
Marjorie,1944,61,F
Hilary,1944,62,F
Jill,1944,63,F
Cynthia,1944,64,F
Ruth,1944,65,F
Mavis,1944,66,F
Audrey,1944,67,F
Marlene,1944,68,F
Betty,1944,69,F
Julia,1944,70,F
Evelyn,1944,71,F
Penelope,1944,72,F
Lynda,1944,73,F
Christina,1944,74,F
Jeanette,1944,75,F
Carolyn,1944,76,F
Iris,1944,77,F
Anita,1944,78,F
Denise,1944,79,F
Kay,1944,80,F
Marian,1944,81,F
Vera,1944,82,F
Teresa,1944,83,F
Georgina,1944,84,F
Sally,1944,85,F
Sarah,1944,86,F
Bridget,1944,87,F
Lilian,1944,88,F
Monica,1944,89,F
Joy,1944,90,F
Glenys,1944,91,F
Julie,1944,92,F
Vivienne,1944,93,F
Daphne,1944,94,F
Caroline,1944,95,F
Susan,1954,1,F
Linda,1954,2,F
Christine,1954,3,F
Margaret,1954,4,F
Janet,1954,5,F
Patricia,1954,6,F
Carol,1954,7,F
Elizabeth,1954,8,F
Mary,1954,9,F
Anne,1954,10,F
Ann,1954,11,F
Jane,1954,12,F
Jacqueline,1954,13,F
Barbara,1954,14,F
Sandra,1954,15,F
Gillian,1954,16,F
Pauline,1954,17,F
Elaine,1954,18,F
Lesley,1954,19,F
Angela,1954,20,F
Pamela,1954,21,F
Helen,1954,22,F
Jennifer,1954,23,F
Valerie,1954,24,F
Jean,1954,25,F
Catherine,1954,26,F
Julie,1954,27,F
Kathleen,1954,28,F
Denise,1954,29,F
Maureen,1954,30,F
Judith,1954,31,F
Wendy,1954,32,F
Diane,1954,33,F
Sheila,1954,34,F
Janice,1954,35,F
Lynn,1954,36,F
Karen,1954,37,F
Yvonne,1954,38,F
Lynne,1954,39,F
Shirley,1954,40,F
Marion,1954,41,F
Maria,1954,42,F
Rosemary,1954,43,F
Carole,1954,44,F
Joan,1954,45,F
Marilyn,1954,46,F
June,1954,47,F
Lorraine,1954,48,F
Lynda,1954,49,F
Sally,1954,50,F
Marian,1954,51,F
Brenda,1954,52,F
Alison,1954,53,F
Teresa,1954,54,F
Julia,1954,55,F
Heather,1954,56,F
Marie,1954,57,F
Eileen,1954,58,F
Deborah,1954,59,F
Kathryn,1954,60,F
Hilary,1954,61,F
Caroline,1954,62,F
Sharon,1954,63,F
Sylvia,1954,64,F
Ruth,1954,65,F
Irene,1954,66,F
Dorothy,1954,67,F
Sarah,1954,68,F
Frances,1954,69,F
Josephine,1954,70,F
Jill,1954,71,F
Joyce,1954,72,F
Hazel,1954,73,F
Annette,1954,74,F
Beverley,1954,75,F
Gail,1954,76,F
Rita,1954,77,F
Geraldine,1954,78,F
Diana,1954,79,F
Carolyn,1954,80,F
Christina,1954,81,F
Penelope,1954,82,F
Jeanette,1954,83,F
Suzanne,1954,84,F
Amanda,1954,85,F
Dawn,1954,86,F
Theresa,1954,87,F
Anna,1954,88,F
Joy,1954,89,F
Doreen,1954,90,F
Fiona,1954,91,F
Cheryl,1954,92,F
Kay,1954,93,F
Glynis,1954,94,F
Anita,1954,95,F
Susan,1964,1,F
Julie,1964,2,F
Karen,1964,3,F
Jacqueline,1964,4,F
Deborah,1964,5,F
Tracey,1964,6,F
Jane,1964,7,F
Helen,1964,8,F
Diane,1964,9,F
Sharon,1964,10,F
Tracy,1964,11,F
Angela,1964,12,F
Sarah,1964,13,F
Alison,1964,14,F
Caroline,1964,15,F
Amanda,1964,16,F
Sandra,1964,17,F
Linda,1964,18,F
Catherine,1964,19,F
Elizabeth,1964,20,F
Carol,1964,21,F
Joanne,1964,22,F
Wendy,1964,23,F
Janet,1964,24,F
Dawn,1964,25,F
Christine,1964,26,F
Nicola,1964,27,F
Gillian,1964,28,F
Sally,1964,29,F
Maria,1964,30,F
Michelle,1964,31,F
Debra,1964,32,F
Paula,1964,33,F
Anne,1964,34,F
Lorraine,1964,35,F
Patricia,1964,36,F
Mary,1964,37,F
Denise,1964,38,F
Margaret,1964,39,F
Ann,1964,40,F
Beverley,1964,41,F
Donna,1964,42,F
Elaine,1964,43,F
Fiona,1964,44,F
Jennifer,1964,45,F
Lesley,1964,46,F
Louise,1964,47,F
Mandy,1964,48,F
Tina,1964,49,F
Jayne,1964,50,F
Suzanne,1964,51,F
Andrea,1964,52,F
Pauline,1964,53,F
Lisa,1964,54,F
Claire,1964,55,F
Kim,1964,56,F
Julia,1964,57,F
Teresa,1964,58,F
Heather,1964,59,F
Kathryn,1964,60,F
Lynn,1964,61,F
Ruth,1964,62,F
Yvonne,1964,63,F
Judith,1964,64,F
Melanie,1964,65,F
Marie,1964,66,F
Pamela,1964,67,F
Carole,1964,68,F
Barbara,1964,69,F
Gail,1964,70,F
Lynne,1964,71,F
Clare,1964,72,F
Janice,1964,73,F
Rachel,1964,74,F
Jill,1964,75,F
Katherine,1964,76,F
Kathleen,1964,77,F
Shirley,1964,78,F
Annette,1964,79,F
Carolyn,1964,80,F
Anna,1964,81,F
Sara,1964,82,F
Valerie,1964,83,F
Cheryl,1964,84,F
Jeanette,1964,85,F
Kay,1964,86,F
Anita,1964,87,F
Maxine,1964,88,F
Frances,1964,89,F
Joanna,1964,90,F
Theresa,1964,91,F
Debbie,1964,92,F
Lynda,1964,93,F
Maureen,1964,94,F
Rosemary,1964,95,F
Sarah,1974,1,F
Claire,1974,2,F
Nicola,1974,3,F
Emma,1974,4,F
Lisa,1974,5,F
Joanne,1974,6,F
Michelle,1974,7,F
Helen,1974,8,F
Samantha,1974,9,F
Karen,1974,10,F
Amanda,1974,11,F
Rachel,1974,12,F
Louise,1974,13,F
Julie,1974,14,F
Clare,1974,15,F
Rebecca,1974,16,F
Sharon,1974,17,F
Victoria,1974,18,F
Caroline,1974,19,F
Susan,1974,20,F
Alison,1974,21,F
Catherine,1974,22,F
Elizabeth,1974,23,F
Deborah,1974,24,F
Donna,1974,25,F
Tracey,1974,26,F
Tracy,1974,27,F
Angela,1974,28,F
Jane,1974,29,F
Zoe,1974,30,F
Kerry,1974,31,F
Melanie,1974,32,F
Sally,1974,33,F
Jennifer,1974,34,F
Dawn,1974,35,F
Andrea,1974,36,F
Suzanne,1974,37,F
Lucy,1974,38,F
Joanna,1974,39,F
Anna,1974,40,F
Charlotte,1974,41,F
Paula,1974,42,F
Katherine,1974,43,F
Maria,1974,44,F
Marie,1974,45,F
Fiona,1974,46,F
Kelly,1974,47,F
Natalie,1974,48,F
Kathryn,1974,49,F
Jacqueline,1974,50,F
Wendy,1974,51,F
Sara,1974,52,F
Hayley,1974,53,F
Laura,1974,54,F
Natasha,1974,55,F
Ruth,1974,56,F
Lorraine,1974,57,F
Tina,1974,58,F
Rachael,1974,59,F
Anne,1974,60,F
Stephanie,1974,61,F
Kirsty,1974,62,F
Christine,1974,63,F
Julia,1974,64,F
Gillian,1974,65,F
Cheryl,1974,66,F
Hannah,1974,67,F
Vanessa,1974,68,F
Ann,1974,69,F
Jayne,1974,70,F
Diane,1974,71,F
Heather,1974,72,F
Sandra,1974,73,F
Teresa,1974,74,F
Kate,1974,75,F
Linda,1974,76,F
Mary,1974,77,F
Elaine,1974,78,F
Georgina,1974,79,F
Emily,1974,80,F
Katie,1974,81,F
Alexandra,1974,82,F
Nichola,1974,83,F
Carol,1974,84,F
Sophie,1974,85,F
Heidi,1974,86,F
Kim,1974,87,F
Tanya,1974,88,F
Patricia,1974,89,F
Beverley,1974,90,F
Leanne,1974,91,F
Denise,1974,92,F
Tara,1974,93,F
Clair,1974,94,F
Sonia,1974,95,F
Sarah,1984,1,F
Laura,1984,2,F
Gemma,1984,3,F
Emma,1984,4,F
Rebecca,1984,5,F
Claire,1984,6,F
Victoria,1984,7,F
Samantha,1984,8,F
Rachel,1984,9,F
Amy,1984,10,F
Jennifer,1984,11,F
Nicola,1984,12,F
Katie,1984,13,F
Lisa,1984,14,F
Kelly,1984,15,F
Natalie,1984,16,F
Louise,1984,17,F
Michelle,1984,18,F
Hayley,1984,19,F
Hannah,1984,20,F
Helen,1984,21,F
Charlotte,1984,22,F
Joanne,1984,23,F
Lucy,1984,24,F
Elizabeth,1984,25,F
Leanne,1984,26,F
Danielle,1984,27,F
Donna,1984,28,F
Katherine,1984,29,F
Clare,1984,30,F
Stephanie,1984,31,F
Stacey,1984,32,F
Lauren,1984,33,F
Joanna,1984,34,F
Kerry,1984,35,F
Emily,1984,36,F
Catherine,1984,37,F
Sophie,1984,38,F
Anna,1984,39,F
Jessica,1984,40,F
Zoe,1984,41,F
Kirsty,1984,42,F
Kimberley,1984,43,F
Kate,1984,44,F
Jenna,1984,45,F
Caroline,1984,46,F
Natasha,1984,47,F
Rachael,1984,48,F
Amanda,1984,49,F
Kathryn,1984,50,F
Karen,1984,51,F
Alexandra,1984,52,F
Jodie,1984,53,F
Alison,1984,54,F
Sara,1984,55,F
Jemma,1984,56,F
Carly,1984,57,F
Heather,1984,58,F
Holly,1984,59,F
Ruth,1984,60,F
Fiona,1984,61,F
Melissa,1984,62,F
Angela,1984,63,F
Suzanne,1984,64,F
Katy,1984,65,F
Marie,1984,66,F
Naomi,1984,67,F
Cheryl,1984,68,F
Melanie,1984,69,F
Sally,1984,70,F
Julie,1984,71,F
Charlene,1984,72,F
Jade,1984,73,F
Sian,1984,74,F
Tracey,1984,75,F
Eleanor,1984,76,F
Deborah,1984,77,F
Maria,1984,78,F
Lindsey,1984,79,F
Abigail,1984,80,F
Lindsay,1984,81,F
Susan,1984,82,F
Alice,1984,83,F
Georgina,1984,84,F
Aimee,1984,85,F
Jane,1984,86,F
Kim,1984,87,F
Carla,1984,88,F
Christine,1984,89,F
Dawn,1984,90,F
Tanya,1984,91,F
Jenny,1984,92,F
Andrea,1984,93,F
Lyndsey,1984,94,F
Jacqueline,1984,95,F
Rebecca,1994,1,F
Lauren,1994,2,F
Jessica,1994,3,F
Charlotte,1994,4,F
Hannah,1994,5,F
Sophie,1994,6,F
Amy,1994,7,F
Emily,1994,8,F
Laura,1994,9,F
Emma,1994,10,F
Chloe,1994,11,F
Sarah,1994,12,F
Lucy,1994,13,F
Katie,1994,14,F
Bethany,1994,15,F
Jade,1994,16,F
Megan,1994,17,F
Alice,1994,18,F
Rachel,1994,19,F
Samantha,1994,20,F
Danielle,1994,21,F
Holly,1994,22,F
Abigail,1994,23,F
Olivia,1994,24,F
Stephanie,1994,25,F
Elizabeth,1994,26,F
Victoria,1994,27,F
Natasha,1994,28,F
Georgia,1994,29,F
Zoe,1994,30,F
Natalie,1994,31,F
Eleanor,1994,32,F
Shannon,1994,33,F
Paige,1994,34,F
Georgina,1994,35,F
Gemma,1994,36,F
Nicole,1994,37,F
Chelsea,1994,38,F
Kirsty,1994,39,F
Alexandra,1994,40,F
Melissa,1994,41,F
Jennifer,1994,42,F
Hayley,1994,43,F
Louise,1994,44,F
Katherine,1994,45,F
Jodie,1994,46,F
Grace,1994,47,F
Anna,1994,48,F
Molly,1994,49,F
Amber,1994,50,F
Jasmine,1994,51,F
Kayleigh,1994,52,F
Kelly,1994,53,F
Harriet,1994,54,F
Ashleigh,1994,55,F
Catherine,1994,56,F
Leah,1994,57,F
Nicola,1994,58,F
Francesca,1994,59,F
Naomi,1994,60,F
Kate,1994,61,F
Abbie,1994,62,F
Claire,1994,63,F
Leanne,1994,64,F
Rachael,1994,65,F
Rosie,1994,66,F
Aimee,1994,67,F
Ellie,1994,68,F
Sian,1994,69,F
Kimberley,1994,70,F
Lydia,1994,71,F
Hollie,1994,72,F
Stacey,1994,73,F
Bethan,1994,74,F
Amelia,1994,75,F
Beth,1994,76,F
Kathryn,1994,77,F
Heather,1994,78,F
Lisa,1994,79,F
Helen,1994,80,F
Ella,1994,81,F
Robyn,1994,82,F
Chantelle,1994,83,F
Ellen,1994,84,F
Daisy,1994,85,F
Demi,1994,86,F
Courtney,1994,87,F
Gabrielle,1994,88,F
Yasmin,1994,89,F
Lily,1994,90,F
Rhiannon,1994,91,F
Maria,1994,92,F
Kerry,1994,93,F
Imogen,1994,94,F
Rebekah,1994,95,F
